610 :{ 51586 , 80 }
611 :{ 51667 , 77 }
612 :{ 51745 , 89 }
613 :{ 51835 , 92 }
614 :{ 51928 , 85 }
615 :{ 52014 , 80 }
616 :{ 52095 , 91 }
617 :{ 52187 , 88 }
618 :{ 52276 , 89 }
619 :{ 52366 , 92 }
620 :{ 52459 , 74 }
621 :{ 52534 , 91 }
622 :{ 52626 , 81 }
623 :{ 52708 , 50 }
624 :{ 52759 , 89 }
625 :{ 52849 , 90 }
626 :{ 52940 , 90 }
627 :{ 53031 , 82 }
628 :{ 53114 , 84 }
629 :{ 53199 , 92 }
630 :{ 53292 , 83 }
631 :{ 53376 , 77 }
632 :{ 53454 , 76 }
633 :{ 53531 , 78 }
634 :{ 53610 , 85 }
635 :{ 53696 , 78 }
636 :{ 53775 , 83 }
637 :{ 53859 , 89 }
638 :{ 53949 , 91 }
639 :{ 54041 , 68 }
640 :{ 54110 , 75 }
641 :{ 54186 , 82 }
642 :{ 54269 , 89 }
643 :{ 54359 , 79 }
644 :{ 54439 , 87 }
645 :{ 54527 , 79 }
646 :{ 54607 , 79 }
647 :{ 54687 , 80 }
648 :{ 54768 , 90 }
649 :{ 54859 , 85 }
650 :{ 54945 , 84 }
651 :{ 55030 , 92 }
652 :{ 55123 , 84 }
653 :{ 55208 , 88 }
654 :{ 55297 , 83 }
655 :{ 55381 , 84 }
656 :{ 55466 , 88 }
657 :{ 55555 , 82 }
658 :{ 55638 , 88 }
659 :{ 55727 , 87 }
660 :{ 55815 , 88 }
661 :{ 55904 , 91 }
662 :{ 55996 , 83 }
663 :{ 56080 , 79 }
664 :{ 56160 , 78 }
665 :{ 56239 , 81 }
666 :{ 56321 , 88 }
667 :{ 56410 , 88 }
668 :{ 56499 , 91 }
669 :{ 56591 , 92 }
670 :{ 56684 , 82 }
671 :{ 56767 , 89 }
672 :{ 56857 , 81 }
673 :{ 56939 , 89 }
674 :{ 57029 , 86 }
675 :{ 57116 , 92 }
676 :{ 57209 , 92 }
677 :{ 57302 , 88 }
678 :{ 57391 , 93 }
679 :{ 57485 , 83 }
680 :{ 57569 , 78 }
681 :{ 57648 , 90 }
682 :{ 57739 , 86 }
683 :{ 57826 , 88 }
684 :{ 57915 , 80 }
685 :{ 57996 , 82 }
686 :{ 58079 , 83 }
687 :{ 58163 , 84 }
688 :{ 58248 , 85 }
689 :{ 58334 , 80 }
690 :{ 58415 , 92 }
691 :{ 58508 , 90 }
692 :{ 58599 , 90 }
693 :{ 58690 , 80 }
694 :{ 58771 , 88 }
695 :{ 58860 , 89 }
696 :{ 58950 , 84 }
697 :{ 59035 , 85 }
698 :{ 59121 , 84 }
699 :{ 59206 , 80 }
700 :{ 59287 , 81 }
701 :{ 59369 , 78 }
702 :{ 59448 , 86 }
703 :{ 59535 , 82 }
704 :{ 59618 , 83 }
705 :{ 59702 , 82 }
706 :{ 59785 , 83 }
707 :{ 59869 , 86 }
708 :{ 59956 , 89 }
709 :{ 60046 , 88 }
710 :{ 60135 , 86 }
711 :{ 60222 , 84 }
712 :{ 60307 , 83 }
713 :{ 60391 , 83 }
714 :{ 60475 , 70 }
715 :{ 60546 , 79 }
716 :{ 60626 , 85 }
717 :{ 60712 , 92 }
718 :{ 60805 , 88 }
719 :{ 60894 , 93 }
720 :{ 60988 , 89 }
721 :{ 61078 , 81 }
722 :{ 61160 , 84 }
723 :{ 61245 , 84 }
724 :{ 61330 , 80 }
725 :{ 61411 , 81 }
726 :{ 61493 , 83 }
727 :{ 61577 , 82 }
728 :{ 61660 , 80 }
729 :{ 61741 , 84 }
730 :{ 61826 , 81 }
731 :{ 61908 , 81 }
732 :{ 61990 , 87 }
733 :{ 62078 , 81 }
734 :{ 62160 , 83 }
735 :{ 62244 , 87 }
736 :{ 62332 , 85 }
737 :{ 62418 , 86 }
738 :{ 62505 , 85 }
739 :{ 62591 , 86 }
740 :{ 62678 , 84 }
741 :{ 62763 , 82 }
742 :{ 62846 , 85 }
743 :{ 62932 , 93 }
744 :{ 63026 , 84 }
745 :{ 63111 , 85 }
746 :{ 63197 , 76 }
747 :{ 63274 , 78 }
748 :{ 63353 , 79 }
749 :{ 63433 , 85 }
750 :{ 63519 , 85 }
751 :{ 63605 , 90 }
752 :{ 63696 , 89 }
753 :{ 63786 , 82 }
754 :{ 63869 , 84 }
755 :{ 63954 , 93 }
756 :{ 64048 , 81 }
757 :{ 64130 , 82 }
758 :{ 64213 , 86 }
759 :{ 64300 , 86 }
760 :{ 64387 , 94 }
761 :{ 64482 , 78 }
762 :{ 64561 , 88 }
763 :{ 64650 , 85 }
764 :{ 64736 , 82 }
765 :{ 64819 , 87 }
766 :{ 64907 , 90 }
767 :{ 64998 , 83 }
768 :{ 65082 , 89 }
769 :{ 65172 , 88 }
770 :{ 65261 , 87 }
771 :{ 65349 , 81 }
772 :{ 65431 , 87 }
773 :{ 65519 , 87 }
774 :{ 65607 , 86 }
775 :{ 65694 , 92 }
776 :{ 65787 , 89 }
777 :{ 65877 , 84 }
778 :{ 65962 , 84 }
779 :{ 66047 , 84 }
780 :{ 66132 , 91 }
781 :{ 66224 , 77 }
782 :{ 66302 , 83 }
783 :{ 66386 , 93 }
784 :{ 66480 , 88 }
785 :{ 66569 , 88 }
786 :{ 66658 , 91 }
787 :{ 66750 , 82 }
788 :{ 66833 , 82 }
789 :{ 66916 , 84 }
790 :{ 67001 , 80 }
791 :{ 67082 , 81 }
792 :{ 67164 , 86 }
793 :{ 67251 , 88 }
794 :{ 67340 , 87 }
795 :{ 67428 , 70 }
796 :{ 67499 , 87 }
797 :{ 67587 , 90 }
798 :{ 67678 , 90 }
799 :{ 67769 , 74 }
800 :{ 67844 , 82 }
801 :{ 67927 , 83 }
802 :{ 68011 , 82 }
803 :{ 68094 , 85 }
804 :{ 68180 , 89 }
805 :{ 68270 , 77 }
806 :{ 68348 , 91 }
807 :{ 68440 , 82 }
808 :{ 68523 , 88 }
809 :{ 68612 , 87 }
810 :{ 68700 , 90 }
811 :{ 68791 , 91 }
812 :{ 68883 , 86 }
813 :{ 68970 , 88 }
814 :{ 69059 , 87 }
815 :{ 69147 , 86 }
816 :{ 69234 , 78 }
817 :{ 69313 , 78 }
818 :{ 69392 , 80 }
819 :{ 69473 , 82 }
820 :{ 69556 , 89 }
821 :{ 69646 , 92 }
822 :{ 69739 , 86 }
823 :{ 69826 , 80 }
824 :{ 69907 , 90 }
825 :{ 69998 , 80 }
826 :{ 70079 , 82 }
827 :{ 70162 , 90 }
828 :{ 70253 , 89 }
829 :{ 70343 , 85 }
830 :{ 70429 , 85 }
831 :{ 70515 , 86 }
832 :{ 70602 , 85 }
833 :{ 70688 , 85 }
834 :{ 70774 , 88 }
835 :{ 70863 , 80 }
836 :{ 70944 , 87 }
837 :{ 71032 , 85 }
838 :{ 71118 , 88 }
839 :{ 71207 , 88 }
840 :{ 71296 , 82 }
841 :{ 71379 , 90 }
842 :{ 71470 , 91 }
843 :{ 71562 , 85 }
844 :{ 71648 , 78 }
845 :{ 71727 , 84 }
846 :{ 71812 , 87 }
847 :{ 71900 , 84 }
848 :{ 71985 , 89 }
849 :{ 72075 , 88 }
850 :{ 72164 , 80 }
851 :{ 72245 , 79 }
852 :{ 72325 , 76 }
853 :{ 72402 , 87 }
854 :{ 72490 , 87 }
855 :{ 72578 , 78 }
856 :{ 72657 , 88 }
857 :{ 72746 , 81 }
858 :{ 72828 , 87 }
859 :{ 72916 , 84 }
860 :{ 73001 , 85 }
861 :{ 73087 , 83 }
862 :{ 73171 , 78 }
863 :{ 73250 , 89 }
864 :{ 73340 , 83 }
865 :{ 73424 , 77 }
866 :{ 73502 , 84 }
867 :{ 73587 , 81 }
868 :{ 73669 , 80 }
869 :{ 73750 , 87 }
870 :{ 73838 , 89 }
871 :{ 73928 , 83 }
872 :{ 74012 , 88 }
873 :{ 74101 , 87 }
874 :{ 74189 , 82 }
875 :{ 74272 , 82 }
876 :{ 74355 , 86 }
877 :{ 74442 , 82 }
878 :{ 74525 , 81 }
879 :{ 74607 , 79 }
880 :{ 74687 , 82 }
881 :{ 74770 , 83 }
882 :{ 74854 , 91 }
883 :{ 74946 , 82 }
884 :{ 75029 , 82 }
885 :{ 75112 , 81 }
886 :{ 75194 , 84 }
887 :{ 75279 , 93 }
888 :{ 75373 , 86 }
889 :{ 75460 , 85 }
890 :{ 75546 , 90 }
891 :{ 75637 , 92 }
892 :{ 75730 , 92 }
893 :{ 75823 , 88 }
894 :{ 75912 , 92 }
895 :{ 76005 , 81 }
896 :{ 76087 , 84 }
897 :{ 76172 , 77 }
898 :{ 76250 , 90 }
899 :{ 76341 , 79 }
900 :{ 76421 , 80 }
901 :{ 76502 , 90 }
902 :{ 76593 , 79 }
903 :{ 76673 , 86 }
904 :{ 76760 , 85 }
905 :{ 76846 , 85 }
906 :{ 76932 , 92 }
907 :{ 77025 , 79 }
908 :{ 77105 , 86 }
909 :{ 77192 , 82 }
910 :{ 77275 , 84 }
911 :{ 77360 , 82 }
912 :{ 77443 , 82 }
913 :{ 77526 , 82 }
914 :{ 77609 , 92 }
915 :{ 77702 , 81 }
916 :{ 77784 , 82 }
917 :{ 77867 , 86 }
918 :{ 77954 , 90 }
919 :{ 78045 , 87 }
920 :{ 78133 , 77 }
921 :{ 78211 , 84 }
922 :{ 78296 , 74 }
923 :{ 78371 , 77 }
924 :{ 78449 , 84 }
925 :{ 78534 , 84 }
926 :{ 78619 , 88 }
927 :{ 78708 , 90 }
928 :{ 78799 , 89 }
929 :{ 78889 , 92 }
930 :{ 78982 , 88 }
931 :{ 79071 , 81 }
932 :{ 79153 , 81 }
933 :{ 79235 , 87 }
934 :{ 79323 , 78 }
